Company Name,Stock,Ticker,ESG Risk,ESG Rating
"Bankwell Financial Group, Inc.",NAS,BWFG,High ESG Risk,33.8
Banner Corp.,NAS,BANR,Medium ESG Risk,28.6
Banpu Power Public Co. Ltd.,BKK,BPP,High ESG Risk,30.2
Banpu Public Co. Ltd.,BKK,BANPU,Severe ESG Risk,40.5
Banque Cantonale Vaudoise,SWX,BCVN,Medium ESG Risk,23
Banque Fédérative du Crédit Mutuel SA,PAR,BFCDN,Medium ESG Risk,21.2
Banque Ouest Africaine de Développement,-,,Low ESG Risk,13.1
Banque Saudi Fransi,SAU,1050,Medium ESG Risk,28.2
"Baoshan Iron & Steel Co., Ltd.",SHG,600019,High ESG Risk,37.2
"Baozun, Inc.",HKG,9991,Medium ESG Risk,24.3
Bapcor Ltd.,ASX,BAP,Low ESG Risk,12.6
"Baptist Healthcare System, Inc.",-,,High ESG Risk,34.3
Bar Harbor Bankshares,ASE,BHB,Medium ESG Risk,28.1
Barclays Bank Plc,-,,Medium ESG Risk,21.5
Barclays PLC,LON,BARC,Medium ESG Risk,22.8
Barco NV,BRU,BAR,Low ESG Risk,11.1
Barentz Bidco BV,-,,High ESG Risk,35.4
Barloworld Ltd.,JSE,BAW,Low ESG Risk,19.5
"Barnes Group, Inc.",NYS,B,Medium ESG Risk,26.7
Barratt Developments Plc,LON,BDEV,Low ESG Risk,11.6
"Barrett Business Services, Inc.",NAS,BBSI,Low ESG Risk,11.9
Barrick Gold Corp.,TSE,ABX,High ESG Risk,33.9
Barry Callebaut AG,SWX,BARN,Low ESG Risk,14.4
Barwa Real Estate Co.,DSMD,BRES,Medium ESG Risk,23.7
"Base Co., Ltd.",TKS,4481,Medium ESG Risk,25.5
BASF India Ltd.,BOM,500042,Medium ESG Risk,29.1
BASF SE,ETR,BAS,Medium ESG Risk,25.1
Basic-Fit NV,AMS,BFIT,Medium ESG Risk,28.8
BasicNet SpA,MIL,BAN,Low ESG Risk,17.6
Basilea Pharmaceutica AG,SWX,BSLN,High ESG Risk,31.3
Baskent Dogalgaz Dagitim Gayrimenkul Yatirim Ortakligi AS,IST,BASGZ.E,Severe ESG Risk,45.2
Basler AG,ETR,BSL,Low ESG Risk,14.8
Basler Kantonalbank,SWX,BSKP,Low ESG Risk,15
Basso Industry Corp. Ltd.,TAI,1527,High ESG Risk,35.5
Bastide Le Confort Medical SA,PAR,BLC,Low ESG Risk,13.7
Bata India Ltd.,BOM,500043,Low ESG Risk,20
"Bath & Body Works, Inc.",NYS,BBWI,Low ESG Risk,15.3
Battalion Oil Corp.,ASE,BATL,Severe ESG Risk,53.8
Batu Kawan Bhd.,KLS,1899,Medium ESG Risk,25.6
Bauer AG,ETR,B5A,High ESG Risk,39
"Bausch Health Cos., Inc.",NYS,BHC,High ESG Risk,32.6
Bausparkasse Schwäbisch Hall AG,-,,Medium ESG Risk,25
Bavarian Nordic A/S,CSE,BAVA,Medium ESG Risk,28.6
BAWAG Group AG,WBO,BG,Medium ESG Risk,20.5
Bawan Co.,SAU,1302,High ESG Risk,34.9
"Baxalta, Inc.",-,,Medium ESG Risk,21
"Baxter International, Inc.",NYS,BAX,Medium ESG Risk,23.7
"BayCare Health System, Inc.",-,,High ESG Risk,34.7
BayCom Corp.,NAS,BCML,Medium ESG Risk,29.1
"BayCurrent Consulting, Inc.",TKS,6532,Medium ESG Risk,25.4
Bayer AG,ETR,BAYN,Medium ESG Risk,27.4
Bayer CropScience Ltd. (India),BOM,506285,Medium ESG Risk,29.4
Bayerische Motoren Werke AG,ETR,BMW,Medium ESG Risk,27.4
BayernLB Holding AG,-,,Medium ESG Risk,23.6
Baylor Scott & White Holdings,-,,Medium ESG Risk,22.4
Baytex Energy Corp.,TSE,BTE,Severe ESG Risk,46.6
BayWa AG,ETR,BYW6,Low ESG Risk,19.3
Bazalgette Holdings Ltd.,-,,High ESG Risk,37.9
BB Biotech AG,SWX,BION,Medium ESG Risk,23.7
BB Seguridade Participações SA,BSP,BBSE3,Low ESG Risk,18.5
BBK BSC,BAH,BBK,High ESG Risk,33.3
BBMG Corp.,HKG,2009,High ESG Risk,35.6
"BCB Bancorp, Inc.",NAS,BCBP,High ESG Risk,35.8
"BCE, Inc.",TSE,BCE,Low ESG Risk,18.8
bcIMC Realty Corp.,-,,Medium ESG Risk,20.2
"BCPG Public Co., Ltd.",BKK,BCPG,Medium ESG Risk,21.5
"BDO Unibank, Inc.",PHS,BDO,Medium ESG Risk,23.8
BE Group AB,OME,BEGR,Low ESG Risk,20
BE Semiconductor Industries NV,AMS,BESI,Low ESG Risk,15.2
Be Shaping the Future SpA,-,,Medium ESG Risk,22.1
Beach Energy Ltd.,ASX,BPT,High ESG Risk,36.7
"Beacon Roofing Supply, Inc.",NAS,BECN,Medium ESG Risk,25.6
"Beam Therapeutics, Inc.",NAS,BEAM,Medium ESG Risk,26.1
"Bear Electric Appliance Co., Ltd.",SHE,2959,Medium ESG Risk,24.3
"Beasley Broadcast Group, Inc.",NAS,BBGI,Medium ESG Risk,20.3
"Beazer Homes USA, Inc.",NYS,BZH,Medium ESG Risk,20.5
Beazley Plc,LON,BEZ,Low ESG Risk,18.2
"BEC World Public Co., Ltd.",BKK,BEC,Low ESG Risk,16.9
Bechtle AG,ETR,BC8,Low ESG Risk,16.2
"Becle, S.A.B. de C.V.",MEX,CUERVO,Medium ESG Risk,28.3
"Becton, Dickinson & Co.",NYS,BDX,Medium ESG Risk,27
"Bed Bath & Beyond, Inc.",OTC,BBBYQ,Low ESG Risk,19.1
Bedfordshire Pilgrims Housing Association Ltd.,-,,Medium ESG Risk,20
Befesa SA,ETR,BFSA,Low ESG Risk,20
Bega Cheese Ltd.,ASX,BGA,Medium ESG Risk,29.1
"Beibu Gulf Port Co., Ltd.",SHE,582,Medium ESG Risk,20.2
Beiersdorf AG,ETR,BEI,Medium ESG Risk,29.1
BeiGene Ltd.,HKG,6160,Medium ESG Risk,27
Beijer Alma AB,OME,BEIA.B,Medium ESG Risk,25.3
Beijer Electronics Group AB,OME,EPEN,Low ESG Risk,16.3
Beijer Ref AB,OME,BEIJ.B,Medium ESG Risk,25.4
"Beijing BDStar Navigation Co., Ltd.",SHE,2151,Medium ESG Risk,28.2
"Beijing Beimo High-Tech Frictional Material Co., Ltd.",SHE,2985,Severe ESG Risk,42.2
"Beijing Capital City Development Group Co., Ltd.",-,,High ESG Risk,33.7
"Beijing Capital Development Co., Ltd.",SHG,600376,Medium ESG Risk,25.4
"Beijing Capital Eco-Environment Protection Group Co., Ltd.",SHG,600008,High ESG Risk,37.4
"Beijing Capital International Airport Co., Ltd.",HKG,694,Low ESG Risk,19.1
"Beijing Chunlizhengda Medical Instruments Co., Ltd.",HKG,1858,High ESG Risk,35.4
"Beijing Compass Technology Development Co., Ltd.",SHE,300803,Medium ESG Risk,27.8
Beijing Ctrowell Technology Corp. Ltd.,SHE,300455,Low ESG Risk,18.5
"Beijing Dabeinong Technology Group Co., Ltd.",SHE,2385,Severe ESG Risk,53.8
"Beijing Dahao Technology Corp., Ltd.",SHG,603025,High ESG Risk,32.9
"Beijing E-hualu Information Technology Co., Ltd.",SHE,300212,Medium ESG Risk,28.9
"Beijing Easpring Material Technology Co., Ltd.",SHE,300073,High ESG Risk,34.7
"Beijing Energy International Holding Co., Ltd.",HKG,686,Medium ESG Risk,25.9
"Beijing Enlight Media Co., Ltd.",SHE,300251,Low ESG Risk,18.1
Beijing Enterprises Holdings Ltd.,HKG,392,High ESG Risk,34.2
Beijing Enterprises Water Group Ltd.,HKG,371,High ESG Risk,36.9
"Beijing GeoEnviron Engineering & Technology, Inc.",SHG,603588,Medium ESG Risk,26.8
"Beijing Haixin Energy Technology Co., Ltd.",SHE,300072,High ESG Risk,33.3
"Beijing Huafeng Test & Control Technology Co., Ltd.",SHG,688200,High ESG Risk,36.1
"Beijing Jetsen Technology Co., Ltd.",SHE,300182,Medium ESG Risk,27.9
"Beijing Jingneng Clean Energy Co., Ltd.",HKG,579,Severe ESG Risk,40.5
"Beijing Jingyuntong Technology Co., Ltd.",SHG,601908,High ESG Risk,38
"Beijing Kingsoft Office Software, Inc.",SHG,688111,Medium ESG Risk,21.7
Beijing New Building Materials Public Ltd. Co.,SHE,786,Medium ESG Risk,26.5
Beijing North Star Co. Ltd.,HKG,588,Medium ESG Risk,22.4
"Beijing Orient Landscape & Environment Co., Ltd.",SHE,2310,Medium ESG Risk,29
"Beijing Oriental Yuhong Waterproof Technology Co., Ltd.",SHE,2271,High ESG Risk,30.7
"Beijing OriginWater Technology Co., Ltd.",SHE,300070,Medium ESG Risk,29.6
"Beijing Roborock Technology Co., Ltd.",SHG,688169,Medium ESG Risk,26.5
"Beijing Sanlian Hope Shin-Gosen Technical Service Co., Ltd.",SHE,300384,Medium ESG Risk,22.7
"Beijing Shiji Information Technology Co., Ltd.",SHE,2153,Medium ESG Risk,23.8
"Beijing Shougang Co., Ltd.",SHE,959,Severe ESG Risk,47.3
"Beijing Shunxin Agriculture Co., Ltd.",SHE,860,High ESG Risk,34.7
"Beijing Sinnet Technology Co., Ltd.",SHE,300383,High ESG Risk,30.4
"Beijing SL Pharmaceutical Co., Ltd.",SHE,2038,High ESG Risk,31.4
"Beijing State-Owned Assets Management Co., Ltd.",-,,High ESG Risk,35.6
Beijing State-owned Capital Operation & Management Center Invt,-,,High ESG Risk,35.8
"Beijing Strong Biotechnologies, Inc.",SHE,300406,High ESG Risk,30.5
"Beijing Sumavision Technologies Co., Ltd.",SHE,300079,Medium ESG Risk,25.8
"Beijing Supermap Software Co., Ltd.",SHE,300036,Medium ESG Risk,28.3
Beijing Tiantan Biological Products Corp. Ltd.,SHG,600161,High ESG Risk,30.4
"Beijing Tong Ren Tang Chinese Medicine Co., Ltd.",HKG,3613,Medium ESG Risk,29.1
"Beijing Tongtech Co., Ltd.",SHE,300379,Medium ESG Risk,27.8
"Beijing Ultrapower Software Co., Ltd.",SHE,300002,Medium ESG Risk,29.5
"Beijing United Information Technology Co., Ltd.",SHG,603613,High ESG Risk,32.1
"Beijing VRV Software Co., Ltd.",SHE,300352,Medium ESG Risk,29.4
"Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.",SHG,603392,Medium ESG Risk,29.7
"Beijing Water Business Doctor Co., Ltd.",SHE,300055,Medium ESG Risk,29.8
"Beijing Yanjing Brewery Co., Ltd.",SHE,729,High ESG Risk,31.7
"Beijing Yuanliu Hongyuan Electronic Technology Co., Ltd.",SHG,603267,Medium ESG Risk,23.4
"Beijing Zhong Ke San Huan High-Tech Co., Ltd.",SHE,970,Medium ESG Risk,25.3
"Beijing-Shanghai High-Speed Railway Co., Ltd.",SHG,601816,High ESG Risk,31.6
Bekaert SA,BRU,BEKB,Medium ESG Risk,23.1
Beken Corp.,SHG,603068,Severe ESG Risk,41.4
"Belc Co., Ltd.",TKS,9974,Medium ESG Risk,26.1
"Belden, Inc.",NYS,BDC,Medium ESG Risk,22.2
Belfius Bank SA,-,,Low ESG Risk,19.7
Believe SA,PAR,BLV,Low ESG Risk,14.6
BELIMO Holding AG,SWX,BEAN,Medium ESG Risk,22.4
Bell Food Group AG,SWX,BELL,High ESG Risk,35.1
Bellevue Gold Ltd.,ASX,BGL,High ESG Risk,31.6
"BellRing Brands, Inc.",NYS,BRBR,High ESG Risk,35.9
"BELLSYSTEM24 Holdings, Inc.",TKS,6183,Negligible ESG Risk,9.6
"Belluna Co., Ltd.",TKS,9997,Medium ESG Risk,28.6
"BELLUS Health, Inc.",TSE,BLU,High ESG Risk,32.7
Bellway Plc,LON,BWY,Low ESG Risk,15.1
BEML Ltd.,BOM,500048,Medium ESG Risk,23.2
"Benchmark Electronics, Inc.",NYS,BHE,Low ESG Risk,10.3
Bendigo & Adelaide Bank Ltd.,ASX,BEN,Medium ESG Risk,23.8
Benefit One Inc.,TKS,2412,Low ESG Risk,14.8
Benefit Systems SA,WAR,BFT,Low ESG Risk,10.4
"Benefitfocus, Inc.",-,,Medium ESG Risk,23.1
"Benesse Holdings, Inc.",TKS,9783,Low ESG Risk,16.4
Bénéteau SA,PAR,BEN,Negligible ESG Risk,9.7
"Bengang Steel Plates Co., Ltd.",SHE,761,Severe ESG Risk,56.8
"Bengo4.com, Inc.",TKS,6027,Medium ESG Risk,29.8
"Benson Hill, Inc.",NYS,BHIL,High ESG Risk,34.2
"Bentley Systems, Inc.",NAS,BSY,Low ESG Risk,16.2
Bera Holding AS,IST,BERA.E,Severe ESG Risk,50.4
BerGenBio ASA,OSL,BGBIO,Low ESG Risk,19.1
Berger Paints India Ltd.,BOM,509480,High ESG Risk,37.1
Bergman & Beving AB,OME,BERG.B,Medium ESG Risk,23.9
Bergs Timber AB,OME,BRG.B,Low ESG Risk,19
Berjaya Corp. Bhd.,KLS,3395,Severe ESG Risk,46.6
Berkeley Group Holdings Plc,LON,BKG,Low ESG Risk,14.1
"Berkshire Grey, Inc.",NAS,BGRY,High ESG Risk,35.7
Berkshire Hathaway Energy Co.,-,,High ESG Risk,33.9
"Berkshire Hathaway, Inc.",NYS,BRK.B,Medium ESG Risk,20.7
"Berkshire Hills Bancorp, Inc.",NYS,BHLB,Low ESG Risk,17.7
Berli Jucker Public Co. Ltd.,BKK,BJC,Medium ESG Risk,24.1
Berlin Hyp AG,-,,Negligible ESG Risk,7.1
Bermaz Auto Bhd.,KLS,5248,Low ESG Risk,10.8
Berner Kantonalbank AG,SWX,BEKN,Medium ESG Risk,29.9
Berry Corp.,NAS,BRY,Severe ESG Risk,46.3
"Berry Global Group, Inc.",NYS,BERY,Low ESG Risk,14.5
Bertelsmann SE & Co. KGaA,-,,Negligible ESG Risk,7.8
Bertrandt AG,ETR,BDT,Medium ESG Risk,25.5
BES Engineering Corp.,TAI,2515,High ESG Risk,38.3
Besqab AB,OME,BESQ,Low ESG Risk,19.3
"Best Buy Co., Inc.",NYS,BBY,Low ESG Risk,15.8
Best World International Ltd.,SES,CGN,High ESG Risk,30.8
"BEST, Inc. (China)",NYS,BEST,Medium ESG Risk,27.1
"Bestway Marine & Energy Technology Co., Ltd.",SHE,300008,High ESG Risk,37.1
"Bethel Automotive Safety Systems Co., Ltd.",SHG,603596,High ESG Risk,37
Betmakers Technology Group Ltd.,ASX,BET,High ESG Risk,30.5
Betsson AB,OME,BETS.B,Medium ESG Risk,21.4
"Betta Pharmaceuticals Co., Ltd.",SHE,300558,Severe ESG Risk,42.4
Better Collective A/S,OME,BETCO,Medium ESG Risk,21
Bevco Lux SARL,-,,Low ESG Risk,19.8
Bewi ASA,OSL,BEWI,Low ESG Risk,17.9
"Beyond Meat, Inc.",NAS,BYND,Severe ESG Risk,40.7
"Beyond Securities Public Co., Ltd.",BKK,BYD,High ESG Risk,33.1
Bezeq The Israeli Telecommunication Corp. Ltd.,TAE,BEZQ,High ESG Risk,33.3
BFF Bank SpA,MIL,BFF,Low ESG Risk,18.1
"BGC Partners, Inc.",NAS,BGCP,High ESG Risk,33.6
"BGF Co., Ltd.",KRX,27410,Medium ESG Risk,24.2
"BGF Retail Co., Ltd.",KRX,282330,Medium ESG Risk,25.8
"BGI Genomics Co., Ltd.",SHE,300676,Medium ESG Risk,21.4
"BH Co., Ltd.",KRX,90460,Medium ESG Risk,21.1
Bharat Dynamics Ltd.,BOM,541143,High ESG Risk,31.6
Bharat Electronics Ltd.,BOM,500049,High ESG Risk,31.2
Bharat Forge Ltd.,BOM,500493,Medium ESG Risk,23.1
Bharat Heavy Electricals Ltd.,BOM,500103,High ESG Risk,30.5
Bharat Petroleum Corp. Ltd.,BOM,500547,High ESG Risk,37.8
Bharti Airtel Ltd.,BOM,532454,Low ESG Risk,19.5
BHG Group AB,OME,BHG,Medium ESG Risk,26
BHP Group Ltd.,ASX,BHP,Medium ESG Risk,27.5
"Bic Camera, Inc.",TKS,3048,Low ESG Risk,18.1
BICO Group AB,OME,BICO,Medium ESG Risk,28.9
Bicycle Therapeutics Plc,NAS,BCYC,Low ESG Risk,16.2
Bid Corp. Ltd.,JSE,BID,Low ESG Risk,16
"BIEM.L.FDLKK Garment Co., Ltd.",SHE,2832,Medium ESG Risk,21.5
Biesse SpA,MIL,BSS,Medium ESG Risk,27.7
Biffa Ltd.,-,,Medium ESG Risk,20.6
Big 5 Sporting Goods Corp.,NAS,BGFV,Medium ESG Risk,20
"Big Lots, Inc.",NYS,BIG,Low ESG Risk,19.7
BIG Shopping Centers Ltd.,TAE,BIG,Medium ESG Risk,24.8
Big Technologies Plc,LON,BIG,Low ESG Risk,16
Big Yellow Group Plc,LON,BYG,Negligible ESG Risk,9.7
Bigben Interactive SA,PAR,BIG,Medium ESG Risk,20.9
"BigCommerce Holdings, Inc.",NAS,BIGC,Medium ESG Risk,23.2
"Biglari Holdings, Inc.",NYS,BH,High ESG Risk,32.2
Bijou Brigitte modische Accessoires AG,ETR,BIJ,Low ESG Risk,18.8
Bilfinger SE,ETR,GBF,Low ESG Risk,16.2
Bilia AB,OME,BILI.A,Low ESG Risk,11.6
"Bilibili, Inc.",HKG,9626,Medium ESG Risk,27.5
"Bill Holdings, Inc.",NYS,BILL,Medium ESG Risk,24.3
Billerud AB,OME,BILL,Low ESG Risk,11.9
BIM Birlesik Magazalar AS,IST,BIMAS.E,Medium ESG Risk,29.7
"Bimbo Bakeries USA, Inc.",-,,High ESG Risk,30.9
BinDawood Holding Co.,SAU,4161,High ESG Risk,32.7
"BINEX Co., Ltd.",KRX,53030,High ESG Risk,37.9
"BINGGRAE Co., Ltd.",KRX,5180,Medium ESG Risk,26.7
Binjiang Service Group Co. Ltd.,HKG,3316,Low ESG Risk,17.7
"Bio-Rad Laboratories, Inc.",NYS,BIO,Low ESG Risk,17.4
Bio-Techne Corp.,NAS,TECH,Low ESG Risk,18.1
BioArctic AB,OME,BIOA.B,Medium ESG Risk,25.8
"BioAtla, Inc.",NAS,BCAB,Medium ESG Risk,27.5
Biocon Ltd.,BOM,532523,Medium ESG Risk,26.2
"BioCryst Pharmaceuticals, Inc.",NAS,BCRX,Medium ESG Risk,28.5
BioGaia AB,OME,BIOG.B,Low ESG Risk,18.1
"Biogen, Inc.",NAS,BIIB,Medium ESG Risk,22.3
Biohaven Pharmaceutical Holding Company Ltd.,-,,Low ESG Risk,19.6
BioInvent International AB,OME,BINV,Medium ESG Risk,26.3
"BioLife Solutions, Inc.",NAS,BLFS,Medium ESG Risk,28.8
"BioMarin Pharmaceutical, Inc.",NAS,BMRN,Medium ESG Risk,25.7
"Biomea Fusion, Inc.",NAS,BMEA,High ESG Risk,35.6
Biomed Lublin Wytwornia Surowic i Szczepionek SA,WAR,BML,Severe ESG Risk,40.3
bioMérieux SA,PAR,BIM,Medium ESG Risk,23.4
"Bionano Genomics, Inc.",NAS,BNGO,Medium ESG Risk,29.3
BIONEER Corp.,KRX,64550,Medium ESG Risk,29.9
BioNTech SE,NAS,BNTX,Medium ESG Risk,24.1
Biotage AB,OME,BIOT,Low ESG Risk,19.3
Bioteque Corp.,ROCO,4107,Low ESG Risk,17.3
"Bioventus, Inc.",NAS,BVS,High ESG Risk,30.8
"BioXcel Therapeutics, Inc.",NAS,BTAI,Medium ESG Risk,28.1
BIPROGY Inc.,TKS,8056,Low ESG Risk,16.4
Birchcliff Energy Ltd.,TSE,BIR,Severe ESG Risk,46.1
Birla Corp. Ltd.,BOM,500335,High ESG Risk,37.7
Birlasoft Ltd.,BOM,532400,Low ESG Risk,19.2
Bisichi Plc,LON,BISI,Severe ESG Risk,51.4
Bizim Toptan Satis Magazalari AS,IST,BIZIM.E,Low ESG Risk,14.2
"BizLink Holding, Inc.",TAI,3665,Low ESG Risk,13
"BJ's Restaurants, Inc.",NAS,BJRI,High ESG Risk,31.5
"BJ's Wholesale Club Holdings, Inc.",NYS,BJ,High ESG Risk,30.3
Bjorn Borg AB,OME,BORG,Low ESG Risk,10.6
BKW AG,SWX,BKW,High ESG Risk,39.8
Black Hills Corp.,NYS,BKH,High ESG Risk,30.4
"Black Knight, Inc.",NYS,BKI,Low ESG Risk,17.9
Black Peony (Group) Co. Ltd.,SHG,600510,Medium ESG Risk,23
"Blackbaud, Inc.",NAS,BLKB,Low ESG Risk,19.1
BlackBerry Ltd.,TSE,BB,Low ESG Risk,19.9
Blackbird Infrastructure Group,-,,Low ESG Risk,13.8
"BlackLine, Inc.",NAS,BL,Medium ESG Risk,24.5
Blackmores Ltd.,ASX,BKL,High ESG Risk,34.1
"BlackRock, Inc.",NYS,BLK,Low ESG Risk,18.2
"Blackstone Mortgage Trust, Inc.",NYS,BXMT,Low ESG Risk,19.1
Blackstone Property Partners Europe Holdings SARL,-,,Low ESG Risk,15.1
"Blackstone Real Estate Income Trust, Inc.",-,,Low ESG Risk,18
Blackstone Secured Lending Fund,NYS,BXSL,High ESG Risk,34.9
"Blackstone, Inc.",NYS,BX,Medium ESG Risk,23.4
"Blade Air Mobility, Inc.",NAS,BLDE,High ESG Risk,38.2
Blau Farmacêutica SA,BSP,BLAU3,High ESG Risk,36.5
bLEND Funding PLC,-,,High ESG Risk,31.1
"Blend Labs, Inc.",NYS,BLND,Medium ESG Risk,26.2
Blink Charging Co.,NAS,BLNK,Medium ESG Risk,22.6
"Block, Inc.",NYS,SQ,Low ESG Risk,19.8
Bloom Energy Corp.,NYS,BE,Medium ESG Risk,28.2
Bloomage Biotechnology Corp. Ltd.,SHG,688363,Severe ESG Risk,42
Bloomberry Resorts Corp.,PHS,BLOOM,Medium ESG Risk,29.8
"Bloomin' Brands, Inc.",NAS,BLMN,Medium ESG Risk,27
Bloomsbury Publishing Plc,LON,BMY,Low ESG Risk,16.6
Blue Bird Corp.,NAS,BLBD,High ESG Risk,35
Blue Bright Ltd.,-,,High ESG Risk,36
Blue Dart Express Ltd.,BOM,526612,Medium ESG Risk,21.8
Blue Foundry Bancorp,NAS,BLFY,High ESG Risk,31.2
Blue Label Telecoms Ltd.,JSE,BLU,High ESG Risk,32.1
Blue Moon Group Holdings Ltd.,HKG,6993,Medium ESG Risk,28.9
"Blue Owl Capital, Inc.",NYS,OWL,High ESG Risk,31.2
"Blue Ridge Bankshares, Inc. (Virginia)",ASE,BRBS,High ESG Risk,32.5
"Blue Sail Medical Co., Ltd.",SHE,2382,High ESG Risk,32.1
Blue Square Real Estate Ltd.,TAE,BLSR,Medium ESG Risk,25.5
Blue Star Ltd.,BOM,500067,Medium ESG Risk,29.2
"Bluebik Group Public Co., Ltd.",BKK,BBIK,Medium ESG Risk,22.4
"bluebird bio, Inc.",NAS,BLUE,Medium ESG Risk,29.9
BlueFocus Intelligent Communications Group Co. Ltd.,SHE,300058,High ESG Risk,33.1
Bluegreen Vacations Holding Corp.,NYS,BVH,High ESG Risk,34
"BlueLinx Holdings, Inc.",NYS,BXC,Medium ESG Risk,27.5
Blueprint Medicines Corp.,NAS,BPMC,Medium ESG Risk,28.6
"Bluerock Homes Trust, Inc.",ASE,BHM,Low ESG Risk,19.9
"Bluerock Residential Growth REIT, Inc.",-,,Low ESG Risk,18.8
BlueScope Steel Ltd.,ASX,BSL,High ESG Risk,32.2
Bluestar Adisseo Co.,SHG,600299,Medium ESG Risk,21
"BMC Software, Inc.",-,,Negligible ESG Risk,9.9
"BML, Inc.",TKS,4694,Medium ESG Risk,24.3
"BNC Korea Co., Ltd.",KRX,256840,Medium ESG Risk,24.2
BNG Bank NV,-,,Low ESG Risk,11.7
"BNK Financial Group, Inc.",KRX,138930,Medium ESG Risk,28.5
BNP Paribas Bank Polska SA,WAR,BNP,Low ESG Risk,10.9
BNP Paribas Cardif SA,-,,Low ESG Risk,19
BNP Paribas Fortis SA/NV,BRU,1153319,Low ESG Risk,16.2
BNP Paribas SA,PAR,BNP,Medium ESG Risk,25.5
BNP Paribas US Medium-Term Note Program LLC,-,,High ESG Risk,33.7
Boa Vista Serviços SA,BSP,BOAS3,Medium ESG Risk,21.6
BOAL Holding Coöperatief UA,-,,Negligible ESG Risk,7.1
Boardwalk Pipeline Partners LP,-,,Medium ESG Risk,24
Boardwalk Real Estate Investment Trust,TSE,BEI.UT,Low ESG Risk,17.5
Bobst Group SA,-,,High ESG Risk,33
BOC Aviation (USA) Corp.,-,,Medium ESG Risk,21.7
BOC Aviation Ltd.,HKG,2588,Medium ESG Risk,21.2
BOC Hong Kong (Holdings) Ltd.,HKG,2388,Medium ESG Risk,23.3
"BOC International (China) Co., Ltd.",SHG,601696,High ESG Risk,31
BOCOM International Holdings Co. Ltd.,HKG,3329,High ESG Risk,32
BoCom Leasing Management Hong Kong Co. Ltd.,-,,Medium ESG Risk,26.7
Bodycote Plc,LON,BOY,High ESG Risk,32.8
"BOE Technology Group Co., Ltd.",SHE,725,Medium ESG Risk,25.1
BOE Varitronix Ltd.,HKG,710,High ESG Risk,34
"Bohai Leasing Co., Ltd.",SHE,415,High ESG Risk,32.8
Boiron SA,PAR,BOI,Medium ESG Risk,29.5
Boise Cascade Co.,NYS,BCC,Medium ESG Risk,22.6
BOK Financial Corp.,NAS,BOKF,Medium ESG Risk,21.1
Boliden AB,OME,BOL,Medium ESG Risk,27.8
Bolloré SE,PAR,BOL,Low ESG Risk,11.5
Bolsa Mexicana de Valores SAB de CV,MEX,BOLSAA,Low ESG Risk,11.1
"Bombardier, Inc.",TSE,BBD.B,High ESG Risk,32.5
Bonava AB,OME,BONAV.B,Low ESG Risk,13.1
Bonduelle SCA,PAR,BON,Medium ESG Risk,26.5
BONESUPPORT HOLDING AB,OME,BONEX,Medium ESG Risk,25.5
Bong AB,OME,BONG,Low ESG Risk,11.2
Bonheur ASA,OSL,BONHR,Low ESG Risk,17.5
boohoo group Plc,LON,BOO,Medium ESG Risk,26.3
"Booking Holdings, Inc.",NAS,BKNG,Medium ESG Risk,21.8
"Boot Barn Holdings, Inc.",NYS,BOOT,Low ESG Risk,16.7
Booz Allen Hamilton Holding Corp.,NYS,BAH,Low ESG Risk,16.6
Boozt AB,OME,BOOZT,Medium ESG Risk,22.8
"Bora Pharmaceuticals Co., Ltd.",ROCO,6472,Medium ESG Risk,28.8
Boral Ltd.,ASX,BLD,High ESG Risk,32.3
"Boralex, Inc.",TSE,BLX,Medium ESG Risk,21.5
"BorgWarner, Inc.",NYS,BWA,Low ESG Risk,12.6
Borosil Renewables Ltd.,BOM,502219,Medium ESG Risk,27.9
Borr Drilling Ltd.,OSL,BORR,High ESG Risk,34.7
Borregaard ASA,OSL,BRG,Medium ESG Risk,26
Borusan Yatirim ve Pazarlama AS,IST,BRYAT.E,High ESG Risk,32.8
Borussia Dortmund GmbH & Co. KGaA,ETR,BVB,Low ESG Risk,15.1
Boryung Corp.,KRX,3850,High ESG Risk,34.5
Bosch Ltd.,BOM,500530,Negligible ESG Risk,8.3
Bosideng International Holdings Ltd.,HKG,3998,Low ESG Risk,17.2
Boss Energy Ltd.,ASX,BOE,Severe ESG Risk,57.2
Bossard Holding AG,SWX,BOSN,Medium ESG Risk,21.1
"Boston Beer Co., Inc.",NYS,SAM,High ESG Risk,32.8
Boston Gas Co.,-,,Medium ESG Risk,21.1
Boston Omaha Corp.,NYS,BOC,Medium ESG Risk,23.8
"Boston Properties, Inc.",NYS,BXP,Low ESG Risk,12.5
Boston Scientific Corp.,NYS,BSX,Medium ESG Risk,26.4
Boubyan Bank KSC,KUW,BOUBYAN,High ESG Risk,30.1
Boubyan Petrochemical Co. KSC,KUW,BPCC,High ESG Risk,37.9
Boule Diagnostics AB,OME,BOUL,Medium ESG Risk,28.4
Boursa Kuwait Securities Co.,KUW,BOURSA,Medium ESG Risk,23.4
Boustead Singapore Ltd.,SES,F9D,High ESG Risk,35.8
Bouvet ASA,OSL,BOUV,Low ESG Risk,18.1
Bouygues SA,PAR,EN,High ESG Risk,35.2
Bowlero Corp.,NYS,BOWL,Low ESG Risk,18.7
